LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh)
3527.718994,12.615670199999999,3586.762967
3561.26709,13.10278034,3600.0
3604.068115,13.68774986,3600.0
3604.176025,14.10241985,3600.0
3593.200928,14.39330959,3600.0
3493.821045,14.07954979,3600.0
3470.701904,14.05440044,3600.0
3436.610107,13.51247025,3600.0
3401.455078,13.71004963,3600.0
3395.23291,13.7423296,3600.0
3417.5039060000004,13.14186001,3600.0
3465.108887,12.86771011,3596.50506
3467.4179689999996,12.84727001,3596.0601380000003
3522.406982,12.73211002,3592.4216659999997
3510.10791,12.51620007,3580.3229409999994
3513.844971,12.59866047,3585.767414
3564.008057,13.23031998,3600.0
3475.2780759999996,13.0946703,3600.0
3561.990967,12.91687965,3597.329407
3521.554932,12.63354969,3587.7627409999996
3493.60791,12.82567024,3595.524457
3555.304932,12.54162025,3582.111096
3377.1279299999997,12.10496998,3537.337786
3479.626953,12.36250019,3567.394707
3539.112061,12.60391045,3586.079315
3430.436035,12.21222019,3551.161616
3301.917969,11.98762035,3520.0118310000003
3235.543945,11.67932987,3463.031603
3519.022949,12.46971989,3576.798254
3469.5371090000003,12.49489975,3578.7487560000004
3296.186035,11.78983021,3485.4176429999998
3045.51001,10.90355015,3237.314957
3444.741943,12.18807983,3548.2148950000005
3417.7460939999996,11.97813034,3518.5082469999998
2807.613037,10.67446995,3144.977295
2493.393066,9.69664669,2588.59196
3215.196045,11.41759014,3400.782508
3589.5900880000004,12.68927002,3590.573175
3599.149902,13.05860043,3600.0
3375.1770020000004,11.52081966,3426.9224719999997
3346.980957,11.51231003,3424.84719
3567.9670409999994,12.41629982,3572.336603
3519.264893,12.16014957,3544.686608
3485.1918950000004,11.67107964,3461.2696659999997
3145.5629879999997,11.14585972,3321.545696
2978.310059,10.77289963,3186.225079
3179.008057,10.92975998,3247.07462
3461.5810549999997,12.14006042,3542.0695020000003
3082.549072,11.19556046,3337.205225
3493.6579590000006,12.94869041,3597.678446
3601.045898,14.87942982,3600.0
3597.5649409999996,15.12405968,3600.0
3602.172119,16.29367065,3600.0
3601.99292,16.12397957,3600.0
3600.7910159999997,15.27460003,3600.0
3590.75,13.56672001,3600.0
3601.845947,15.36779976,3600.0
3601.8701170000004,15.86174965,3600.0
3591.655029,14.92051029,3600.0
3579.024902,13.60853004,3600.0
3598.131104,14.46385956,3600.0
3525.3330079999996,12.68828964,3590.5277049999995
3560.6999509999996,13.55690002,3600.0
3537.676025,13.32281017,3600.0
3491.2910159999997,12.60700989,3586.2615119999996
3530.766113,12.31476021,3562.628404
2915.839111,10.380189900000001,3006.71767
2178.658936,9.11702919,2219.691985
2244.412109,9.253190994,2308.3225260000004
